lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
39,1,107.1,7,1,4,1,0,3,0,1
164,0,100.0,10,2,3,2,0,0,0,1
265,1,115.0,6,24,3,2,0,1,0,0
41,3,189.9,6,27,4,1,1,0,5,1
16,2,129.0,8,21,4,1,2,3,0,1
66,2,98.1,9,3,4,1,1,0,0,1
33,0,64.0,1,25,2,1,1,0,0,1
265,1,112.0,6,24,3,2,0,1,0,0
0,1,79.0,5,8,4,0,1,3,0,1
192,0,95.0,6,24,3,2,0,0,0,1
37,0,113.4,6,20,4,3,1,0,3,0
86,2,198.9,5,22,4,3,2,1,0,1
45,0,95.74,11,1,4,8,2,0,0,0
111,1,121.5,7,16,4,1,0,0,0,1
80,0,60.0,2,22,3,3,1,0,0,1
309,0,101.0,5,13,3,2,1,1,0,0
207,1,85.5,8,5,4,2,1,3,0,1
79,1,151.2,10,16,4,2,2,0,3,1
210,0,72.75,10,8,3,3,1,0,0,1
273,0,95.0,5,13,3,2,1,0,0,0
49,2,74.8,12,1,4,3,1,3,0,1
64,3,98.1,9,1,4,5,2,0,0,1
110,3,143.1,6,3,4,1,0,0,0,1
112,0,99.95,5,7,4,1,1,3,0,1
135,0,90.0,9,14,3,2,1,0,0,1
122,1,103.5,5,17,4,3,0,3,0,1
24,0,53.58,12,18,4,2,1,0,0,1
3,1,47.5,4,23,3,1,2,0,0,1
15,1,117.0,10,31,4,1,2,0,3,1
75,0,67.83,10,20,3,5,1,0,1,1
172,1,137.7,8,11,4,3,0,0,3,0
153,1,109.8,7,22,4,2,0,0,0,0
151,0,71.0,1,19,3,3,0,0,0,1
146,2,166.5,10,19,4,4,1,1,3,1
34,1,99.3,1,22,4,2,1,0,0,1
280,0,110.0,9,19,3,2,1,0,0,0
173,0,89.25,10,15,4,4,2,0,0,0
16,0,93.0,2,18,4,3,0,0,0,1
0,0,158.0,5,9,4,1,1,0,3,1
101,1,79.2,12,6,4,1,0,3,0,0
101,1,148.9,8,8,4,5,3,0,3,1
291,0,115.0,8,19,3,2,0,1,0,0
188,0,130.0,6,15,4,2,0,0,0,0
275,0,106.2,10,1,4,1,2,0,0,0
0,1,98.0,8,7,4,0,1,3,0,1
50,1,83.66,2,22,4,5,2,0,3,0
180,0,70.0,10,16,3,1,0,0,0,0
169,1,89.25,7,25,4,3,1,3,0,1
86,0,117.9,8,12,4,2,1,0,0,1
4,0,95.0,5,2,3,0,1,0,0,1
69,0,120.0,6,12,3,4,2,0,0,0
61,0,91.0,10,4,3,0,2,0,0,1
36,0,0.0,12,8,4,0,0,0,0,1
60,1,65.0,10,12,3,3,1,0,0,1
59,0,67.5,3,9,4,2,0,3,0,0
70,1,167.45,12,3,4,5,2,1,3,1
6,0,197.12,5,20,4,4,2,0,6,0
11,0,88.5,10,23,3,2,2,0,0,1
31,1,126.9,5,2,4,2,1,0,0,1
0,0,99.0,1,3,4,0,1,0,3,1
68,1,130.9,4,1,4,3,2,1,3,1
39,1,74.88,10,23,4,2,1,0,0,1
304,0,89.0,11,3,3,3,0,0,0,0
1,2,0.0,8,26,1,1,0,0,3,1
17,0,102.33,4,2,4,1,2,3,0,0
153,1,123.25,8,9,4,5,1,0,0,0
0,0,111.67,10,15,4,1,2,3,0,1
41,1,158.95,7,31,3,3,2,0,4,1
28,1,87.0,12,17,4,1,0,0,0,1
35,0,105.0,10,31,3,4,1,1,0,1
88,2,150.3,8,19,4,2,0,0,3,1
1,0,107.0,9,22,3,1,0,0,3,1
74,0,87.0,9,18,3,2,0,1,0,1
4,1,119.0,8,24,4,1,0,3,0,1
2,0,68.5,8,15,3,1,2,0,0,0
10,0,110.0,9,30,0,2,2,0,3,1
259,0,90.0,5,5,4,3,0,0,0,0
15,0,65.0,12,10,2,2,0,0,0,1
19,0,90.0,6,22,2,2,0,0,0,1
1,1,96.0,3,23,4,1,0,0,0,1
1,0,65.0,12,10,2,1,0,0,0,1
167,0,62.18,6,28,4,4,0,3,0,0
0,0,77.6,1,30,3,1,0,0,0,1
4,0,134.0,3,24,4,2,0,3,0,0
204,3,76.5,8,12,4,4,0,0,0,1
151,0,200.0,6,27,3,0,1,0,4,0
59,1,96.99,5,28,4,5,2,0,3,1
17,1,90.34,12,30,4,5,2,3,0,1
